feature_id	pathway	FC_reported	FC_recomputed	log2FC_reported	log2FC_recomputed	FDR_p_reported	C8_mean	G8_mean	is_transgene	sgd_description	synonym
OM14		3.62	3.62475	1.85599	1.85788	0	355.95	98.2	no	Integral mitochondrial outer membrane protein	YBR230C
AQY1		3.64	3.64071	1.86394	1.86422	1.6199999999999999E-6	61.71	16.95	no	Spore-specific water channel	YPR192W
COR1		3.7	3.69609	1.88753	1.886	0	363.51	98.35	no	Core subunit of the ubiquinol-cytochrome c reductase complex	YBL045C|QCR1|ubiquinol--cytochrome-c reductase subunit COR1
SDH3		3.72	3.71776	1.8953	1.89443	0	708.68	190.62	no	Subunit of succinate dehydrogenase and of TIM22 translocase	YKL141W|CYB3|YKL4|succinate dehydrogenase cytochrome b subunit SDH3
FMP45		3.72	3.72113	1.8953	1.89574	0	100.21	26.93	no	Integral membrane protein localized to mitochondria	YDL222C
CBP4		3.72	3.72194	1.8953	1.89606	0	147.24	39.56	no	Mitochondrial protein required for assembly of cytochrome bc1 complex	YGR174C
ECM3		3.73	3.7287	1.89918	1.89867	0	217.98	58.46	no	Non-essential protein of unknown function	YOR092W|YOR3165W|putative ATPase ECM3
SDH4		3.74	3.73899	1.90304	1.90265	0	524.58	140.3	no	Membrane anchor subunit of succinate dehydrogenase	YDR178W|ACN18|succinate dehydrogenase membrane anchor subunit SDH4
STL1		3.78	3.78189	1.91839	1.91911	0	55.14	14.58	no	Glycerol proton symporter of the plasma membrane	YDR536W
POT1		3.8	3.79459	1.926	1.92394	2.2000000000000001E-7	23.83	6.28	no	3-ketoacyl-CoA thiolase with broad chain length specificity	YIL160C|FOX3|POX3|acetyl-CoA C-acyltransferase
FMP16		3.81	3.80915	1.92979	1.92947	0	1260.83	331	no	Protein of unknown function	YDR070C
NDI1		3.81	3.80936	1.92979	1.92955	0	135.88	35.67	no	NADH:ubiquinone oxidoreductase	YML120C|NADH-ubiquinone reductase (H(+)-translocating) NDI1
ODC1		3.81	3.8106	1.92979	1.93002	0	139.43	36.59	no	Mitochondrial inner membrane transporter	YPL134C
ATP16		3.81	3.81098	1.92979	1.93016	0	578.85	151.89	no	Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase	YDL004W|F1F0 ATP synthase subunit delta
SPG4		3.82	3.81506	1.93357	1.93171	0	373.8	97.98	no	Protein required for high temperature survival during stationary phase	YMR107W
YKR075C		3.84	3.8353	1.94111	1.93934	0	250.1	65.21	no	Protein of unknown function	YKR075C
ATP18		3.9	3.89859	1.96347	1.96295	0	978.04	250.87	no	Subunit of the mitochondrial F1F0 ATP synthase	YML081C-A|F1F0 ATP synthase subunit i
RGI1		3.93	3.92552	1.97453	1.97289	0	467.53	119.1	no	Protein of unknown function	YER067W
TAR1		3.98	3.97628	1.99277	1.99142	7.3100000000000001E-5	1259.17	316.67	no	Protein potentially involved in regulation of respiratory metabolism	YLR154W-C|YLR154W-A
ATP3		3.98	3.98254	1.99277	1.99369	0	711.56	178.67	no	Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase	YBR039W|F1F0 ATP synthase subunit gamma
STP4		3.99	3.98518	1.99639	1.99464	0	163.99	41.15	no	Protein containing a Kruppel-type zinc-finger domain	YDL048C
PAU24		4.04	4.04094	2.01436	2.01469	3.2600000000000001E-8	186.53	46.16	no	Cell wall mannoprotein	YBR301W|DAN3
MIR1		4.1	4.09934	2.03562	2.03539	0	622.69	151.9	no	Mitochondrial phosphate carrier	YJR077C|PTP
YDL218W		4.15	4.15305	2.05311	2.05417	1.29E-11	36.09	8.69	no	Putative protein of unknown function	YDL218W
SOD2		4.16	4.1593	2.05658	2.05634	0	579.1	139.23	no	Mitochondrial manganese superoxide dismutase	YHR008C|superoxide dismutase SOD2
OYE3		4.21	4.21196	2.07382	2.07449	7.7700000000000001E-8	23.25	5.52	no	Conserved NADPH oxidoreductase containing flavin mononucleotide (FMN)	YPL171C|ZRG6
COX13		4.24	4.2375	2.08406	2.08321	0	664.44	156.8	no	Subunit VIa of cytochrome c oxidase	YGL191W|cytochrome c oxidase subunit VIa
SPS100		4.27	4.26923	2.09424	2.09398	0	99.9	23.4	no	Protein required for spore wall maturation	YHR139C
GIP2		4.35	4.35326	2.12102	2.1221	0	79.36	18.23	no	Putative regulatory subunit of protein phosphatase Glc7p	YER054C
ATP19		4.39	4.39142	2.13422	2.13469	0	975.73	222.19	no	Subunit k of the mitochondrial F1F0 ATP synthase	YOL077W-A|F1F0 ATP synthase subunit k
INH1		4.39	4.39167	2.13422	2.13477	0	583.96	132.97	no	Protein that inhibits ATP hydrolysis by the F1F0-ATP synthase	YDL181W
ATP15		4.41	4.40638	2.14078	2.13959	0	1224.18	277.82	no	Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase	YPL271W|ATPEPSILON|F1F0 ATP synthase subunit epsilon
QCR8		4.44	4.43777	2.15056	2.14984	0	644.32	145.19	no	Subunit 8 of ubiquinol cytochrome-c reductase (Complex III)	YJL166W|COR5|ubiquinol--cytochrome-c reductase subunit 8
HXT5		4.47	4.47118	2.16027	2.16066	0	292.46	65.41	no	Hexose transporter with moderate affinity for glucose	YHR096C
CWP2		4.51	4.51444	2.17313	2.17455	0	3983.59	882.41	no	Covalently linked cell wall mannoprotein	YKL096W-A|LPR1|YKL097W-A
SHH3		4.61	4.60681	2.20477	2.20377	0	190.63	41.38	no	Putative mitochondrial inner membrane protein of unknown function	YMR118C|protein SHH3
HXT10		4.67	4.677	2.22342	2.22558	3.3199999999999999E-10	28.67	6.13	no	Putative hexose transporter	YFL011W
UIP4		4.69	4.69444	2.22959	2.23095	0	196.04	41.76	no	Protein that interacts with Ulp1p	YPL186C
JEN1		4.79	4.78663	2.26003	2.25901	0	63.71	13.31	no	Monocarboxylate/proton symporter of the plasma membrane	YKL217W
PAU19		4.81	4.8142	2.26604	2.2673	6.2499999999999997E-8	148.47	30.84	no	Protein of unknown function	YMR325W
HBT1		4.84	4.83599	2.27501	2.27381	0	106.15	21.95	no	Shmoo tip protein, substrate of Hub1p ubiquitin-like protein	YDL223C
HOP2		4.86	4.85437	2.28096	2.27928	3.6699999999999998E-4	10	2.06	no	Meiosis-specific protein that localizes to chromosomes	YGL033W
OM45		4.89	4.89198	2.28983	2.29042	0	475.99	97.3	no	Mitochondrial outer membrane protein of unknown function	YIL136W
RIP1		4.94	4.94011	2.30451	2.30454	0	195.48	39.57	no	Ubiquinol-cytochrome-c reductase	YEL024W|ubiquinol--cytochrome-c reductase catalytic subunit RIP1
GUT2		4.97	4.96942	2.31325	2.31308	0	48.75	9.81	no	Mitochondrial glycerol-3-phosphate dehydrogenase	YIL155C|glycerol-3-phosphate dehydrogenase
YGR201C		5.04	5.04363	2.33342	2.33446	0	690.17	136.84	no	Putative protein of unknown function	YGR201C
COX8		5.08	5.07497	2.34483	2.3434	0	429.19	84.57	no	Subunit VIII of cytochrome c oxidase (Complex IV)	YLR395C|cytochrome c oxidase subunit VIII
SDH2		5.11	5.10594	2.35332	2.35218	0	723.41	141.68	no	Iron-sulfur protein subunit of succinate dehydrogenase	YLL041C|ACN17|SDHB|succinate dehydrogenase iron-sulfur protein subunit SDH2
PET9		5.11	5.11259	2.35332	2.35405	0	338.76	66.26	no	Major ADP/ATP carrier of the mitochondrial inner membrane	YBL030C|AAC2|ANC2|OP1
QCR7		5.37	5.3686	2.42492	2.42455	0	892.1	166.17	no	Subunit 7 of ubiquinol cytochrome-c reductase (Complex III)	YDR529C|COR4|CRO1|UCR7|ubiquinol--cytochrome-c reductase subunit 7
YNL144C		5.4	5.39698	2.43296	2.43215	0	89.32	16.55	no	Putative protein of unknown function	YNL144C
YJR115W		5.41	5.40741	2.43563	2.43494	0	40.88	7.56	no	Putative protein of unknown function	YJR115W
YPR010C-A		5.41	5.41254	2.43563	2.43631	0	889.66	164.37	no	Putative protein of unknown function	YPR010C-A
FMP43		5.44	5.43846	2.44361	2.4432	0	442.31	81.33	no	Highly conserved subunit of mitochondrial pyruvate carrier	YGR243W|MPC3
YGR174W-A		5.47	5.47356	2.45154	2.45248	0	94.2	17.21	no	Putative protein of unknown function	YGR174W-A
SSA3		5.57	5.56645	2.47768	2.47676	0	185.14	33.26	no	ATPase involved in protein folding and the response to stress	YBL075C|Hsp70 family ATPase SSA3|YG106
SDH1		5.57	5.56988	2.47768	2.47765	0	276.99	49.73	no	Flavoprotein subunit of succinate dehydrogenase	YKL148C|SDHA|succinate dehydrogenase flavoprotein subunit SDH1
YMR206W		5.76	5.76304	2.52607	2.52683	0	123.79	21.48	no	Putative protein of unknown function	YMR206W
HAP4		6.12	6.12351	2.61353	2.61436	0	143.78	23.48	no	Transcription factor	YKL109W
COX12		6.2	6.1967	2.63227	2.6315	0	436	70.36	no	Subunit VIb of cytochrome c oxidase	YLR038C|cytochrome c oxidase subunit VIb
COX7		6.5	6.50392	2.70044	2.70131	0	505.55	77.73	no	Subunit VII of cytochrome c oxidase (Complex IV)	YMR256C|cytochrome c oxidase subunit VII
YNL195C		6.61	6.60531	2.72465	2.72363	0	74.64	11.3	no	Protein of unknown function	YNL195C
ANS1		6.71	6.70982	2.74631	2.74627	0	120.24	17.92	no	Putative GPI protein	YHR126C
GAC1		6.77	6.76844	2.75916	2.75882	0	119.26	17.62	no	Regulatory subunit for Glc7p type-1 protein phosphatase (PP1)	YOR178C
YER053C-A		6.86	6.85979	2.77821	2.77817	3.6600000000000001E-6	33.27	4.85	no	Protein of unknown function	YER053C-A
HSP30		7.18	7.18209	2.84398	2.8444	0	488.31	67.99	no	Negative regulator of the H(+)-ATPase Pma1p	YCR021C|YRO1
PAI3		7.6	7.6039	2.926	2.92674	0	1294.26	170.21	no	Cytoplasmic proteinase A (Pep4p) inhibitor	YMR174C
COX5A		7.77	7.76635	2.95791	2.95724	0	277.88	35.78	no	Subunit Va of cytochrome c oxidase	YNL052W|cytochrome c oxidase subunit Va
RTN2		8.14	8.14024	3.02503	3.02507	0	168.91	20.75	no	Reticulon protein	YDL204W
SUC2		8.26	8.26234	3.04614	3.04655	2.16E-7	388.33	47	no	Invertase	YIL162W|beta-fructofuranosidase SUC2
YKL065W-A		8.39	8.39378	3.06867	3.06932	7.7300000000000006E-15	126.83	15.11	no	Putative protein of unknown function	YKL065W-A
NCA3		8.51	8.50737	3.08916	3.08871	0	808.03	94.98	no	Protein involved in mitochondrion organization	YJL116C
CSR2		8.64	8.63237	3.11103	3.10976	0	80.54	9.33	no	Nuclear ubiquitin protein ligase binding protein	YPR030W|ART8|MRG19
KNH1		8.73	8.72545	3.12598	3.12523	0	178.61	20.47	no	Protein with similarity to Kre9p	YDL049C
COX4		9.13	9.13351	3.19061	3.19117	0	482.98	52.88	no	Subunit IV of cytochrome c oxidase	YGL187C|cytochrome c oxidase subunit IV
QCR10		10.06	10.0633	3.33056	3.33104	0	711.88	70.74	no	Subunit of the ubiqunol-cytochrome c oxidoreductase complex	YHR001W-A|ubiquinol--cytochrome-c reductase subunit 10
DDR2		10.09	10.0872	3.33485	3.33446	0	2857	283.23	no	Multi-stress response protein	YOL052C-A|DDRA2|YOL053C-A
YNR071C		12.8	12.8024	3.67807	3.67834	0	236.46	18.47	no	Putative aldose 1-epimerase	YNR071C|aldose 1-epimerase superfamily protein
YNR034W-A		14.34	14.3376	3.84197	3.84174	1.7499999999999999E-10	2952.12	205.9	no	Putative protein of unknown function	YNR034W-A
TMA10		14.82	14.8221	3.88947	3.88968	0	3187.35	215.04	no	Protein of unknown function that associates with ribosomes	YLR327C|RBF9|SFL2
HXT13		15.2	15.2017	3.926	3.92616	0	73.12	4.81	no	Hexose transporter	YEL069C
COX26		15.61	15.6116	3.9644	3.96455	0	648.82	41.56	no	Putative protein of unknown function	YDR119W-A
SPG1		16.01	16.0012	4.0009	4.00011	0	131.37	8.21	no	Protein required for high temperature survival during stationary phase	YGR236C
YHR033W		16.89	16.8871	4.0781	4.07785	0	649.14	38.44	no	Putative protein of unknown function	YHR033W|putative glutamate 5-kinase
REG2		17.61	17.6023	4.13832	4.13769	0	123.92	7.04	no	Regulatory subunit of the Glc7p type-1 protein phosphatase	YBR050C
MAL12		18.07	18.0833	4.17552	4.17659	0	78.12	4.32	no	Maltase (alpha-D-glucosidase)	YGR292W|MALS
HXT6		18.17	18.1712	4.18349	4.18359	0	3758.54	206.84	no	High-affinity glucose transporter	YDR343C
YMR175W-A		18.47	18.4436	4.20711	4.20505	0	49.06	2.66	no	Putative protein of unknown function	YMR175W-A
HXT7		20.94	20.936	4.38819	4.38791	1.0299999999999999E-14	1079.25	51.55	no	High-affinity glucose transporter	YDR342C
PCK1		24.04	24.0489	4.58736	4.5879	0	373.96	15.55	no	Phosphoenolpyruvate carboxykinase	YKR097W|JPM2|PPC1|phosphoenolpyruvate carboxykinase PCK1
HXK1		26.02	26.0197	4.70155	4.70153	0	7559.75	290.54	no	Hexokinase isoenzyme 1	YFR053C|hexokinase 1
YNR073C		27.43	27.4327	4.77768	4.77782	0	552.22	20.13	no	Putative mannitol dehydrogenase	YNR073C|putative mannitol dehydrogenase
GRE1		33.46	33.4578	5.06437	5.06427	0	1366.08	40.83	no	Hydrophilin essential in dessication-rehydration process	YPL223C
RGI2		70.8	70.9394	6.14568	6.14852	0	140.46	1.98	no	Protein of unknown function	YIL057C
SIP18		91.77	91.7763	6.51995	6.52005	0	5063.3	55.17	no	Phospholipid-binding hydrophilin	YMR175W
DSF1		94.62	94.6324	6.56407	6.56426	0	1637.14	17.3	no	Putative mannitol dehydrogenase	YEL070W|mannitol dehydrogenase DSF1
