sample	mt_gene	start	end	mean_depth	status
SRR1166445_JCYL001D_cellobiose	COX1	13818	26701	0.01	trace
SRR1166445_JCYL001D_cellobiose	AI5_ALPHA	13818	23167	0.01	trace
SRR1166445_JCYL001D_cellobiose	AI4	13818	21935	0.01	trace
SRR1166445_JCYL001D_cellobiose	AI3	13818	19996	0.02	trace
SRR1166445_JCYL001D_cellobiose	AI2	13818	18830	0.02	trace
SRR1166445_JCYL001D_cellobiose	AI1	13818	16322	0.02	trace
SRR1166445_JCYL001D_cellobiose	AI5_BETA	24156	25255	0.0	not_detected
SRR1166445_JCYL001D_cellobiose	ATP8	27666	27812	0.0	not_detected
SRR1166445_JCYL001D_cellobiose	ATP6	28487	29266	0.0	not_detected
SRR1166445_JCYL001D_cellobiose	COB	36540	43647	0.01	trace
SRR1166445_JCYL001D_cellobiose	BI4	36540	42251	0.01	trace
SRR1166445_JCYL001D_cellobiose	BI3	36540	40265	0.0	not_detected
SRR1166445_JCYL001D_cellobiose	BI2	36540	38579	0.0	not_detected
SRR1166445_JCYL001D_cellobiose	OLI1	46723	46953	0.0	not_detected
SRR1166445_JCYL001D_cellobiose	VAR1	48901	50097	0.0	not_detected
SRR1166445_JCYL001D_cellobiose	SCEI	61022	61729	0.0	not_detected
SRR1166445_JCYL001D_cellobiose	COX2	73758	74513	0.0	not_detected
SRR1166445_JCYL001D_cellobiose	Q0255	74495	75984	0.0	not_detected
SRR1166445_JCYL001D_cellobiose	COX3	79213	80022	0.0	not_detected
SRR1166446_JCYL002D_cellobiose	COX1	13818	26701	0.02	trace
SRR1166446_JCYL002D_cellobiose	AI5_ALPHA	13818	23167	0.02	trace
SRR1166446_JCYL002D_cellobiose	AI4	13818	21935	0.02	trace
SRR1166446_JCYL002D_cellobiose	AI3	13818	19996	0.02	trace
SRR1166446_JCYL002D_cellobiose	AI2	13818	18830	0.02	trace
SRR1166446_JCYL002D_cellobiose	AI1	13818	16322	0.04	trace
SRR1166446_JCYL002D_cellobiose	AI5_BETA	24156	25255	0.0	not_detected
SRR1166446_JCYL002D_cellobiose	ATP8	27666	27812	0.0	not_detected
SRR1166446_JCYL002D_cellobiose	ATP6	28487	29266	0.0	not_detected
SRR1166446_JCYL002D_cellobiose	COB	36540	43647	0.01	trace
SRR1166446_JCYL002D_cellobiose	BI4	36540	42251	0.02	trace
SRR1166446_JCYL002D_cellobiose	BI3	36540	40265	0.01	trace
SRR1166446_JCYL002D_cellobiose	BI2	36540	38579	0.02	trace
SRR1166446_JCYL002D_cellobiose	OLI1	46723	46953	0.0	not_detected
SRR1166446_JCYL002D_cellobiose	VAR1	48901	50097	0.0	not_detected
SRR1166446_JCYL002D_cellobiose	SCEI	61022	61729	0.0	not_detected
SRR1166446_JCYL002D_cellobiose	COX2	73758	74513	0.0	not_detected
SRR1166446_JCYL002D_cellobiose	Q0255	74495	75984	0.0	not_detected
SRR1166446_JCYL002D_cellobiose	COX3	79213	80022	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	COX1	13818	26701	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	AI5_ALPHA	13818	23167	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	AI4	13818	21935	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	AI3	13818	19996	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	AI2	13818	18830	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	AI1	13818	16322	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	AI5_BETA	24156	25255	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	ATP8	27666	27812	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	ATP6	28487	29266	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	COB	36540	43647	0.03	trace
SRR1166447_JCYL003D_cellobiose	BI4	36540	42251	0.04	trace
SRR1166447_JCYL003D_cellobiose	BI3	36540	40265	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	BI2	36540	38579	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	OLI1	46723	46953	0.22	trace
SRR1166447_JCYL003D_cellobiose	VAR1	48901	50097	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	SCEI	61022	61729	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	COX2	73758	74513	0.04	trace
SRR1166447_JCYL003D_cellobiose	Q0255	74495	75984	0.0	not_detected
SRR1166447_JCYL003D_cellobiose	COX3	79213	80022	0.0	not_detected
